origin,destination,distance,origin_lat,origin_lon,dest_lat,dest_lon,season,day_of_week,hour,is_weekend,is_peak_hour,user_profile,user_age,user_income,price_sensitivity,time_priority,comfort_priority,transport_type,available_train,available_bus,available_flight,base_demand,seasonal_multiplier,weather_factor,special_event,actual_price,actual_time,user_satisfaction
Milano,Napoli,657.5097077152005,45.4642,9.19,40.8518,14.2681,autumn,6,9,True,True,budget,24,42807.54249532309,0.95,0.18273633960221827,0.26599962988033543,bus,False,True,False,1.5414543120022628,0.95,1.1117920769664063,0,83.73,10.78,0.413
Genova,Napoli,587.7428508695716,44.4056,8.9463,40.8518,14.2681,winter,4,18,False,True,business,44,22593.285782312683,0.11821101378977546,0.7907218244556785,0.7905477640944014,bus,False,True,False,0.9102914922251822,0.85,0.9148526623688392,0,36.12,9.02,0.291
Pisa,Firenze,68.80517205790444,43.7228,10.4017,43.7696,11.2558,autumn,4,12,False,False,leisure,54,56187.321722316774,0.9055764777774625,0.5950373966707058,0.5296095108132336,bus,True,True,False,1.2218559954241228,0.95,0.8442912163028548,1,6.23,0.91,0.88
Perugia,Catania,663.4072845696915,43.1107,12.3908,37.5079,15.083,spring,2,6,False,False,business,25,61433.54104275971,0.13444821015595473,0.95,0.5608488999958138,bus,False,True,False,0.846118138210482,1.05,1.1370852267015574,1,77.69,9.27,0.168
Salerno,Genova,631.2688648162354,40.6824,14.7681,44.4056,8.9463,winter,2,11,False,False,business,47,16802.789350525432,0.24343248168121678,0.8622209577052022,0.6190770049331897,bus,False,True,False,0.571598357386315,0.85,0.9194683477933496,0,29.78,7.28,0.444
Catania,Perugia,663.4072845696915,37.5079,15.083,43.1107,12.3908,winter,1,22,False,False,business,35,27619.1730468191,0.1444117871883592,0.95,0.95,bus,False,True,False,0.5455665361613535,0.85,0.9088278415955368,1,40.67,7.96,0.319
Bologna,Catania,837.6836552084434,44.4949,11.3426,37.5079,15.083,summer,6,13,True,False,budget,22,12381.531414841194,0.95,0.10918537682717756,0.16172122915029608,bus,False,True,False,1.39139433922676,1.25,1.070342193709503,0,134.14,11.25,0.185
Pisa,Torino,262.60434927207007,43.7228,10.4017,45.0703,7.6869,autumn,3,7,False,False,budget,20,40493.7211295911,0.7761522631787969,0.2379721673414848,0.5233849350009221,bus,False,True,False,0.8564059600948278,0.95,0.9555341344767813,0,18.59,3.94,0.883
Genova,Firenze,197.5400929972036,44.4056,8.9463,43.7696,11.2558,summer,1,19,False,True,budget,24,35892.53719642984,0.9267267317439162,0.31536360087699433,0.20399840584115325,bus,False,True,False,2.5646299070386838,1.25,1.0877275595269302,0,40.71,2.97,0.735
Milano,Brescia,80.0956664659833,45.4642,9.19,45.5416,10.2118,spring,0,21,False,False,leisure,55,86031.51465020275,0.95,0.40090814924861906,0.7612634268339348,bus,False,True,False,0.7200096010444976,1.05,1.1204710884454647,0,6.71,1.44,0.853
Bologna,Salerno,508.1775127667676,44.4949,11.3426,40.6824,14.7681,spring,2,19,False,True,budget,31,30394.13378625375,0.95,0.3512947089224518,0.21798084145523852,bus,False,True,False,0.9705666287216316,1.05,1.1137653780993646,0,43.18,7.41,0.671
Salerno,Cagliari,507.77064634410397,40.6824,14.7681,39.2238,9.1217,summer,3,18,False,True,leisure,54,55885.36595664354,0.7672392896968493,0.10116801393923958,0.40008827892422355,bus,False,True,False,1.2608346717760366,1.25,1.1966330490403236,0,71.99,9.53,0.365
